city,area,rooms,bathroom,parking spaces,floor,animal,furniture,rent amount (R$)
São Paulo,70,2,1,1,7,acept,furnished,3300
São Paulo,320,4,4,0,20,acept,not furnished,4960
Porto Alegre,80,1,1,1,6,acept,not furnished,2800
Porto Alegre,51,2,1,0,2,acept,not furnished,1112
São Paulo,25,1,1,0,1,not acept,not furnished,800
São Paulo,376,3,3,7,-,acept,not furnished,8000
Rio de Janeiro,72,2,1,0,7,acept,not furnished,8000
São Paulo,213,4,4,4,4,acept,not furnished,3223
São Paulo,152,2,2,1,3,acept,furnished,15000
Rio de Janeiro,35,1,1,0,2,acept,furnished,2300
São Paulo,26,1,1,0,2,acept,furnished,2100
Campinas,46,1,1,1,10,acept,not furnished,580
São Paulo,36,1,1,0,11,acept,not furnished,2100
São Paulo,55,1,1,1,2,acept,furnished,4200
São Paulo,100,2,2,2,24,acept,furnished,4370
Campinas,330,4,6,6,-,acept,furnished,8000
São Paulo,110,2,2,1,1,acept,not furnished,3000
Rio de Janeiro,88,2,3,1,9,not acept,furnished,3500
Rio de Janeiro,56,2,1,0,8,acept,not furnished,1220
São Paulo,600,4,5,6,-,acept,not furnished,12000
São Paulo,100,7,4,0,-,acept,not furnished,3800
Belo Horizonte,42,1,1,1,17,not acept,furnished,2690
São Paulo,160,3,2,2,18,acept,furnished,1900
São Paulo,35,1,1,0,-,acept,not furnished,1100
Rio de Janeiro,90,3,2,1,7,acept,not furnished,1800
São Paulo,49,1,1,1,10,acept,not furnished,3500
São Paulo,41,1,1,1,5,not acept,furnished,3000
Belo Horizonte,64,2,2,1,11,acept,not furnished,1500
Campinas,208,3,2,4,-,acept,not furnished,3180
São Paulo,20,1,1,0,5,acept,furnished,1800
São Paulo,55,2,2,2,6,acept,not furnished,1068
São Paulo,32,1,1,0,3,acept,not furnished,1700
São Paulo,80,2,2,1,11,acept,not furnished,2550
Rio de Janeiro,45,1,1,1,10,acept,furnished,2500
São Paulo,350,4,4,3,8,acept,not furnished,4000
Porto Alegre,38,1,1,2,11,not acept,not furnished,1750
São Paulo,30,1,1,0,1,acept,not furnished,1600
Belo Horizonte,80,3,2,1,-,acept,not furnished,11000
São Paulo,70,2,1,0,-,not acept,not furnished,1150
Porto Alegre,40,1,1,1,6,acept,furnished,2990
São Paulo,300,4,6,4,20,acept,not furnished,12000
São Paulo,240,3,2,3,-,acept,not furnished,3500
Belo Horizonte,200,4,2,1,7,not acept,not furnished,2550
Belo Horizonte,45,1,1,1,5,acept,not furnished,1631
São Paulo,360,4,5,0,1,acept,not furnished,6410
São Paulo,40,1,1,1,10,acept,furnished,2829
Belo Horizonte,100,3,1,0,13,not acept,not furnished,1220
Porto Alegre,42,1,1,2,2,acept,furnished,1770
Campinas,250,3,3,2,1,acept,not furnished,1700
Campinas,48,1,1,1,2,acept,furnished,1600
Rio de Janeiro,90,3,3,1,10,acept,not furnished,3800
São Paulo,45,1,2,1,15,acept,furnished,3900
Rio de Janeiro,150,2,3,4,6,acept,not furnished,4000
São Paulo,60,2,1,0,2,acept,not furnished,1445
São Paulo,31,1,1,0,4,acept,not furnished,2350
São Paulo,210,4,5,4,4,not acept,not furnished,9000
São Paulo,280,3,1,2,-,acept,not furnished,6000
Campinas,93,2,3,2,9,acept,not furnished,5500
Porto Alegre,75,3,2,1,9,acept,not furnished,1800
São Paulo,194,3,4,3,-,acept,not furnished,4000
São Paulo,41,1,1,1,6,acept,furnished,4000
Rio de Janeiro,65,1,1,1,8,acept,furnished,5100
São Paulo,70,2,1,1,13,acept,not furnished,2150
São Paulo,278,4,5,2,16,acept,furnished,9000
Rio de Janeiro,35,1,1,0,5,acept,not furnished,1521
Campinas,300,4,4,3,2,acept,not furnished,6000
São Paulo,61,2,1,1,4,acept,not furnished,1850
Rio de Janeiro,130,3,2,1,7,acept,not furnished,1700
Rio de Janeiro,80,2,1,1,20,acept,not furnished,900
São Paulo,164,4,4,2,6,not acept,not furnished,5000
Belo Horizonte,220,4,2,3,3,acept,not furnished,2422
São Paulo,45,1,1,0,-,acept,not furnished,1050
São Paulo,108,3,2,2,7,acept,not furnished,5600
Belo Horizonte,128,1,1,0,4,acept,furnished,2100
Rio de Janeiro,60,1,1,0,10,not acept,not furnished,1800
São Paulo,250,4,5,4,6,acept,not furnished,9800
Porto Alegre,47,1,1,1,1,not acept,furnished,2200
Belo Horizonte,170,4,3,4,9,not acept,not furnished,2700
São Paulo,45,1,1,0,1,not acept,not furnished,1240
São Paulo,42,1,1,1,15,acept,not furnished,3500
São Paulo,164,4,4,3,1,acept,not furnished,6000
São Paulo,70,3,1,1,1,acept,not furnished,1020
Porto Alegre,100,4,3,1,8,acept,not furnished,2200
São Paulo,64,2,2,2,4,acept,furnished,4500
Belo Horizonte,68,2,1,1,3,acept,not furnished,1200
Belo Horizonte,75,2,2,2,14,not acept,not furnished,2500
São Paulo,600,4,4,4,9,acept,not furnished,8500
São Paulo,63,2,2,0,15,not acept,not furnished,1550
São Paulo,145,3,4,3,1,not acept,not furnished,6000
São Paulo,85,2,2,2,3,not acept,not furnished,2800
São Paulo,254,4,4,4,7,acept,not furnished,9000
Porto Alegre,350,4,4,4,-,acept,furnished,9000
São Paulo,300,4,4,3,-,acept,not furnished,3500
Belo Horizonte,296,4,3,2,-,acept,not furnished,13500
São Paulo,64,2,2,2,8,acept,not furnished,2800
São Paulo,133,3,2,0,6,acept,not furnished,2957
Campinas,44,1,1,0,7,acept,not furnished,550
Campinas,240,3,4,2,-,acept,not furnished,3000
Porto Alegre,70,3,2,1,4,acept,not furnished,2500
São Paulo,22,1,1,0,26,acept,not furnished,2050
Porto Alegre,50,1,1,1,1,acept,not furnished,950
Porto Alegre,67,3,2,2,4,acept,not furnished,2200
São Paulo,31,1,1,0,6,acept,furnished,2300
Rio de Janeiro,90,2,1,1,1,acept,furnished,3468
Rio de Janeiro,109,3,3,1,1,acept,not furnished,3800
Belo Horizonte,400,4,2,2,-,not acept,not furnished,2500
São Paulo,300,4,5,4,-,acept,furnished,14000
Campinas,284,4,3,3,4,acept,not furnished,6000
Porto Alegre,70,2,1,1,3,acept,furnished,2400
Rio de Janeiro,309,4,5,4,7,acept,not furnished,6500
São Paulo,70,2,1,0,-,acept,not furnished,2100
São Paulo,360,3,4,1,10,acept,not furnished,10000
São Paulo,30,1,1,1,10,not acept,not furnished,1500
Campinas,80,2,2,2,11,acept,not furnished,2200
Belo Horizonte,133,4,4,3,6,not acept,not furnished,7000
